parnumber,maf,cat,cat3,cap,pkg,val,dff,
B32923D3334K006,TDK,电容,,2330nF,,305V,±10%,
MP1394KRDARLC,SRD,电容,,390nF,,300V,±10%,
MP2154KGD3SLC,SRD,电容,,150nF,,275V,±10%,
MP2394KGDARLC,SRD,电容,,390nF,,275V,±10%,
B32672L1333J000,TDK,电容,,33nF,,600V,±5%,
B32642B1273J000,TDK,电容,,27nF,,500V,±5%,
B32652A0104K000,TDK,电容,,100nF,,250V,±10%,
B81123C1472M000,TDK,电容,,14.7nF,,500V,±20%,
MP2394KGD5RLC,SRD,电容,,390nF,,275V,±10%,
MP2394KGD3RLC,SRD,电容,,390nF,,275V,±10%,
MP1103KRD1RLC,SRD,电容,,10nF,,300V,±10%,
MP1154KTD3RLC,SRD,电容,,150nF,,440V,±10%,
MP2473KGD3RLC,SRD,电容,,47nF,,275V,±10%,
MP2103KGB1RLC,SRD,电容,,10nF,,275V,±10%,
MP2224KGD2RLC,SRD,电容,,220nF,,275V,,
MP2153KGC2RLC,SRD,电容,,15nF,,275V,±10%,
MP2224KGCARLC,SRD,电容,,220nF,,275V,±10%,
B32022A3473M000,TDK,电容,,47nF,,300V,±20%,
MP2124KGD2RLC,SRD,电容,,120nF,,275V,±10%,
MP2224KVD4RLC,SRD,电容,,220nF,,320V,±10%,
MP2274KGD4RLC,SRD,电容,,270nF,,275V,±10%,
MP2473KVC3RLC,SRD,电容,,47nF,,320V,±10%,
MP2474KGD5RLC,SRD,电容,,470nF,,275V,±10%,
MP1224KTD4RLC,SRD,电容,,220nF,,440V,±10%,
B32562J6474K000,TDK,电容,,470nF,,400V,±10%,
MEX104K300A01,TENTA,电容,,100nF,,300VAC,,
MP2333KGC2RLC,SRD,电容,,33nF,,275V,±10%,
MP2474KGDARLC,SRD,电容,,470nF,,275V,±10%,
B32922C3154K000,TDK,电容,,150nF,,305V,±10%,
MP2105KGE3RLC,SRD,电容,,1uF,,275V,,
MP1224KRE2RLC,SRD,电容,,220nF,,300V,±10%,
MP1474KRE4RLC,SRD,电容,,470nF,,300V,±10%,
MP1564KRE4RLC,SRD,电容,,560nF,,300V,±10%,
MP2154KGE1RLC,SRD,电容,,150nF,,275V,±10%,
MP2394KGE4RLC,SRD,电容,,390nF,,275V,±10%,
MP2564KGE3RLC,SRD,电容,,560nF,,275V,±10%,
MP2684KGE4SLC,SRD,电容,,680nF,,275V,±10%,
MP1154KTE4RLC,SRD,电容,,150nF,,440V,±10%,
