AT89C51RB2-RLTUM,C51RB2 FLASH 16k VQFP44 COM 5V GREE,AT89C51RB2-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51RB2-SLRUL,C51RB2 FLASH 16k PLCC44 Ind 3V GREE,AT89C51RB2-SLRUL,"最少订量: 500 订量单位: x500"
AT89C51RB2-SLRUM,C51RB2 FLASH 16k PLCC44 ind 5V GREE,AT89C51RB2-SLRUM,"最少订量: 500 订量单位: x500"
AT89C51RB2-SLSUL,C51RB2 FLASH 16k PLCC44 Ind 3V GREE,AT89C51RB2-SLSUL,"最少订量: 27 订量单位: x27"
AT89C51RB2-SLSUM,C51RB2 16K FLASH PLCC44 COM 5V GREE,AT89C51RB2-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51RC-24AU,"8051 MCU 32K FLASH 4.0-5.5V,44 TQFP",AT89C51RC-24AU,"最少订量: 160 订量单位: x160"
AT89C51RC-24JU,"24MHZ, PLCC, IND TEMP, GREEN, 5V",AT89C51RC-24JU,"最少订量: 27 订量单位: x27"
AT89C51RC-24PU,"8051 32K FLASH 4 TO 5.5V,PDIP,GREEN",AT89C51RC-24PU,"最少订量: 10 订量单位: x10"
AT89C51RC2-3CSUM,C51RC2 FLASH 32k PDIL40 ind 5V Gree,AT89C51RC2-3CSUM,"最少订量: 9 订量单位: x9"
AT89C51RC2-RLRUL,C51RC2 FLASH 32k VQFP44 I. 5V GREEN,AT89C51RC2-RLRUL,"最少订量: 1500 订量单位: x1500"
AT89C51RC2-RLTUL,C51RC2 FLASH 32k VQFP44 Ind 5V GREE,AT89C51RC2-RLTUL,"最少订量: 160 订量单位: x160"
AT89C51RC2-RLTUM,C51RC2 FLASH 32k VQFP44 Com 5V GREE,AT89C51RC2-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51RC2-SLRUL,C51RC2 32K FLASH PLCC44 Ind 3V GREE,AT89C51RC2-SLRUL,"最少订量: 500 订量单位: x500"
AT89C51RC2-SLRUM,C51RC2 32K FLASH PLCC44 C. 5V Reel,AT89C51RC2-SLRUM,"最少订量: 500 订量单位: x500"
AT89C51RC2-SLSUL,C51RC2 32K FLASH PLCC44 Ind 3V GREE,AT89C51RC2-SLSUL,"最少订量: 27 订量单位: x27"
AT89C51RC2-SLSUM,C51RC2 32K FLASH PLCC44 COM 5V GREE,AT89C51RC2-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51RD2-RLRUM,C51RD2 32K FLASH VQFP44 C. 5V GREEN,AT89C51RD2-RLRUM,"最少订量: 1500 订量单位: x1500"
AT89C51RD2-RLTUM,C51RD2 64kF VQFP44 3-5.5V Ind. GREE,AT89C51RD2-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51RD2-SLRUM,C51RD2 64kF PLCC44 3-5.5V I. Reel G,AT89C51RD2-SLRUM,"最少订量: 500 订量单位: x500"
AT89C51RD2-SLSUM,C51RD2 64kF PLCC44 3-5.5V Ind.,AT89C51RD2-SLSUM,"最少订量: 27 订量单位: x27"
AT89C55WD-24AU,"24MHZ, TQFP, IND TEMP, GREEN",AT89C55WD-24AU,"最少订量: 160 订量单位: x160"
AT89C55WD-24JU,"24MHZ, PLCC, IND TEMP, GREEN, 5V",AT89C55WD-24JU,"最少订量: 27 订量单位: x27"
AT89C55WD-24PU,"24MHZ, PDIP, IND TEMP, GREEN, 5V",AT89C55WD-24PU,"最少订量: 10 订量单位: x10"
AT89LP2052-20PU,"20MHZ, PDIP, IND TEMP, GREEN, 2.4-5",AT89LP2052-20PU,"最少订量: 18 订量单位: x18"
AT89LP2052-20SU,"20MHZ, SOIC, IND TEMP, GREEN, 2.4-5",AT89LP2052-20SU,"最少订量: 37 订量单位: x37"
